Date,London HPI,employment rate,100/mortgage rate,Real_FTSE100,Real GDP PC CHG
3/31/2014,88.95886255,67.7,42.13499746,67.0370169,0.812347685
6/30/2014,94.7607271,68.83333333,38.96470573,68.10816175,0.741337631
9/30/2014,99.88573745,69.06666667,39.79685466,67.36885147,0.511918093
12/31/2014,99.78976322,69.46666667,46.46958039,66.14208115,0.366067165
3/31/2015,100.3131395,69.26666667,50.34096941,68.60875199,0.333016175
6/30/2015,103.0775877,69.8,52.85281299,68.83389839,0.410937253
9/30/2015,108.1902153,70.5,52.37133602,63.25209455,0.173146545
12/31/2015,110.5482492,70.9,52.7302827,62.97044252,0.439974859
3/31/2016,114.1765281,71.73333333,51.90903391,61.11822352,0.062578223
6/30/2016,115.566722,72.1,54.61556806,62.77291962,-0.125078174
9/30/2016,117.4352239,71.76666667,60.06807142,67.20696119,0.297432686
12/31/2016,117.0199887,72.2,68.22835362,68.32813376,0.593101295
3/31/2017,118.1404841,71.9,70.79358439,70.6504304,-0.186190846
6/30/2017,119.2216493,72.36666667,69.5852452,71.01746682,0.062179388
9/30/2017,120.7606918,72.9,70.76020906,71.11663137,0.341774118
12/31/2017,118.7298477,72.93333333,63.4407326,71.66941487,0.201269546
3/31/2018,118.3234614,73.4,65.80287867,69.38533003,1.776885043
6/30/2018,118.7935501,73.43333333,57.69402121,71.94209805,0.364354031
9/30/2018,119.2195777,73.73333333,57.58841548,71.14023541,0.42353653
12/31/2018,118.1304762,73.4,56.8339603,64.97398013,0
3/31/2019,115.8666912,73.9,58.59553123,66.59260868,0.497062811
6/30/2019,116.1901171,74.7,60.60754474,68.03134033,-0.284772182
9/30/2019,118.2837657,74.46666667,63.17367068,68.38636586,0.375770329
12/31/2019,117.638824,75,69.7905773,68.04675411,-0.209643606
3/31/2020,119.5600904,74.7,70.58901875,60.02803121,-2.776110444
